;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_learning_rate;param_max_depth;param_n_estimators;params;split0_test_r2;split1_test_r2;split2_test_r2;split3_test_r2;split4_test_r2;mean_test_r2;std_test_r2;rank_test_r2;split0_test_neg_root_mean_squared_error;split1_test_neg_root_mean_squared_error;split2_test_neg_root_mean_squared_error;split3_test_neg_root_mean_squared_error;split4_test_neg_root_mean_squared_error;mean_test_neg_root_mean_squared_error;std_test_neg_root_mean_squared_error;rank_test_neg_root_mean_squared_error
16;3,756490135;0,270518926;0,001401043;0,000490388;0,001;3;10;{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 10};0,011188827;0,008309928;0,010809786;0,005670249;-0,009171435;0,005361471;0,00753175;71;-15,33489412;-17,00950567;-16,57225241;-17,82933392;-13,98760459;-16,14671814;1,347405446;71
2;35,95473218;0,735145874;0,005004549;0,006005454;0,0001;3;100;{'learning_rate': 0.0001, 'max_depth': 3, 'n_estimators': 100};0,011181372;0,008303542;0,010804974;0,005680936;-0,009176529;0,005358859;0,007531457;72;-15,33495192;-17,00956044;-16,57229272;-17,82923811;-13,98763989;-16,14673662;1,347372799;72
13;50,7913528;0,72621302;0,003203011;0,000400376;0,0001;9;50;{'learning_rate': 0.0001, 'max_depth': 9, 'n_estimators': 50};0,005414534;0,005528359;0,007339087;0,003179525;-0,01389528;0,001513245;0,007816403;73;-15,379604;-17,03334376;-16,60129987;-17,85165056;-14,02030376;-16,17724039;1,342012539;73
9;41,28514547;0,875667369;0,002001905;1,91E-07;0,0001;7;50;{'learning_rate': 0.0001, 'max_depth': 7, 'n_estimators': 50};0,0053746;0,005312004;0,006846584;0,003174489;-0,013611165;0,001419302;0,007605899;74;-15,37991276;-17,03519653;-16,60541769;-17,85169565;-14,01833923;-16,17811237;1,343116282;74
5;31,14152088;1,662175735;0,002602434;0,001200986;0,0001;5;50;{'learning_rate': 0.0001, 'max_depth': 5, 'n_estimators': 50};0,005862756;0,004605266;0,006628659;0,002865437;-0,013891228;0,001214178;0,007659312;75;-15,37613811;-17,04124731;-16,60723943;-17,85446277;-14,02027574;-16,17987267;1,344522871;75
1;17,77898836;0,656396927;0,001801682;0,0004004;0,0001;3;50;{'learning_rate': 0.0001, 'max_depth': 3, 'n_estimators': 50};0,005270534;0,003243383;0,005430935;0,001837406;-0,014865815;0,000183289;0,007641906;76;-15,38071732;-17,0529011;-16,61724822;-17,86366424;-14,02701251;-16,18830868;1,346234035;76
12;10,43358488;0,08563044;0,001801872;0,000400257;0,0001;9;10;{'learning_rate': 0.0001, 'max_depth': 9, 'n_estimators': 10};0,000525727;-0,000392458;0,001452988;-0,001045941;-0,019266304;-0,003745198;0,007806325;77;-15,41735628;-17,08397449;-16,65044681;-17,88944662;-14,05739039;-16,21972292;1,344611857;77
8;8,553896189;0,598428479;0,002403975;0,000492811;0,0001;7;10;{'learning_rate': 0.0001, 'max_depth': 7, 'n_estimators': 10};0,000519643;-0,000447627;0,001358174;-0,001015815;-0,019204291;-0,003757983;0,007765817;78;-15,41740321;-17,08444554;-16,65123728;-17,88917742;-14,05696276;-16,21984524;1,344788203;78
4;6,145467329;0,146531848;0,001201057;0,000400472;0,0001;5;10;{'learning_rate': 0.0001, 'max_depth': 5, 'n_estimators': 10};0,000614302;-0,000563566;0,001325915;-0,001092768;-0,019278644;-0,003798952;0,007786566;79;-15,41667312;-17,08543545;-16,65150622;-17,88986502;-14,05747548;-16,22019106;1,345025762;79
0;3,48152976;0,102968513;0,002002096;2,86E-07;0,0001;3;10;{'learning_rate': 0.0001, 'max_depth': 3, 'n_estimators': 10};0,000495412;-0,000845009;0,00108714;-0,001265375;-0,019465292;-0,003998625;0,007780683;80;-15,41759009;-17,08783822;-16,65349672;-17,89140723;-14,05876251;-16,22181895;1,345322066;80
