;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_learning_rate;param_max_depth;param_n_estimators;params;split0_test_r2;split1_test_r2;split2_test_r2;split3_test_r2;split4_test_r2;mean_test_r2;std_test_r2;rank_test_r2;split0_test_neg_root_mean_squared_error;split1_test_neg_root_mean_squared_error;split2_test_neg_root_mean_squared_error;split3_test_neg_root_mean_squared_error;split4_test_neg_root_mean_squared_error;mean_test_neg_root_mean_squared_error;std_test_neg_root_mean_squared_error;rank_test_neg_root_mean_squared_error
77;132,8761113;27,59627361;0,00280261;0,000400424;1;9;50;{'learning_rate': 1.0, 'max_depth': 9, 'n_estimators': 50};0,336025899;0,484359812;0,430772539;0,324493709;0,404882998;0,396106991;0,059674917;32;-4,881021764;-4,675936657;-4,956126979;-5,207545793;-4,165651368;-4,777256512;0,349924935;31
41;43,00083694;1,445371669;0,003002691;0,000632937;0,01;7;50;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 50};0,374651244;0,431782768;0,399755122;0,355556412;0,408167398;0,393982589;0,026509079;33;-4,736922936;-4,908541195;-5,089366589;-5,086404;-4,154140527;-4,79507505;0,345986521;34
27;408,1973147;4,187539783;0,011610556;0,000800812;0,001;7;500;{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 500};0,369710044;0,431354923;0,398292739;0,354642676;0,4110442;0,393008916;0,027707083;34;-4,755600539;-4,910388817;-5,095562455;-5,090008651;-4,144031928;-4,799118478;0,350972766;36
65;25,95432038;5,956121539;0,005404949;0,006317708;1;3;50;{'learning_rate': 1.0, 'max_depth': 3, 'n_estimators': 50};0,320567808;0,507318632;0,381316001;0,455841089;0,284365928;0,389881892;0,082647975;35;-4,937512799;-4,570653615;-5,166946262;-4,673919967;-4,568012102;-4,783408949;0,234306354;33
72;24,67823577;5,381779824;0,023621273;0,043741062;1;7;10;{'learning_rate': 1.0, 'max_depth': 7, 'n_estimators': 10};0,340298748;0,450049707;0,312198777;0,367363218;0,479308651;0,38984382;0,064214561;36;-4,865291081;-4,82899726;-5,447923176;-5,039594786;-3,896475253;-4,815656311;0,509400675;38
66;75,50578156;13,98846323;0,002402258;0,000490408;1;3;100;{'learning_rate': 1.0, 'max_depth': 3, 'n_estimators': 100};0,327498706;0,495849221;0,381012088;0,444074012;0,290838892;0,387854584;0,074733074;37;-4,912264422;-4,623548968;-5,168215173;-4,724184901;-4,547306168;-4,795103926;0,223070807;35
67;363,5977843;34,22806916;0,005404902;0,000490505;1;3;500;{'learning_rate': 1.0, 'max_depth': 3, 'n_estimators': 500};0,340539346;0,483013758;0,374740005;0,439226659;0,289270247;0,385358003;0,068982301;38;-4,864403798;-4,682035833;-5,194333434;-4,744736278;-4,552332649;-4,807568398;0,218022496;37
69;82,21308942;16,58413831;0,002202272;0,000400424;1;5;50;{'learning_rate': 1.0, 'max_depth': 5, 'n_estimators': 50};0,421617914;0,472164064;0,333887065;0,393809079;0,289751868;0,382245998;0,064285087;39;-4,5555686;-4,730910339;-5,36134107;-4,933136274;-4,550789961;-4,826349249;0,301987875;39
37;29,1119863;0,596800905;0,002202082;0,000400281;0,01;5;50;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50};0,377110821;0,41287664;0,368420315;0,349283456;0,401289169;0,38179608;0,022820671;40;-4,727598295;-4,989533241;-5,220517778;-5,111099351;-4,178210331;-4,845391799;0,37178036;42
23;294,2501624;1,579618043;0,008207512;0,000749169;0,001;5;500;{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 500};0,375879323;0,411086081;0,364845381;0,350790773;0,400629906;0,380646293;0,022314437;41;-4,732269394;-4,997135774;-5,235271792;-5,105176256;-4,180510092;-4,850072662;0,373436853;43
71;487,8518881;94,35681619;0,007406425;0,000490408;1;5;500;{'learning_rate': 1.0, 'max_depth': 5, 'n_estimators': 500};0,417163288;0,473570296;0,331039272;0,39138751;0,284089071;0,379449888;0,066122208;42;-4,573078159;-4,724604219;-5,372789358;-4,942979727;-4,568895629;-4,836469418;0,300821553;40
70;126,5651004;15,72208311;0,02302084;0,040036154;1;5;100;{'learning_rate': 1.0, 'max_depth': 5, 'n_estimators': 100};0,417386835;0,473328925;0,330532619;0,391551032;0,284350971;0,379430076;0,066084226;43;-4,572201074;-4,725687225;-5,374823577;-4,942315643;-4,568059841;-4,836617472;0,30172261;41
73;115,9027033;27,18874596;0,002602339;0,000490271;1;7;50;{'learning_rate': 1.0, 'max_depth': 7, 'n_estimators': 50};0,318673727;0,427417225;0,301133187;0,345323925;0,466739443;0,371857501;0,064224511;44;-4,944390263;-4,927360976;-5,491572374;-5,126625979;-3,943224215;-4,886634762;0,513529567;44
75;350,2421642;81,20445747;0,005604982;0,000490369;1;7;500;{'learning_rate': 1.0, 'max_depth': 7, 'n_estimators': 500};0,318371426;0,427598182;0,301013512;0,345625086;0,466520788;0,371825799;0,064243174;45;-4,945487043;-4,926582303;-5,492042546;-5,125446679;-3,94403256;-4,886718226;0,513246138;45
74;139,5281081;16,02155923;0,022820663;0,038637633;1;7;100;{'learning_rate': 1.0, 'max_depth': 7, 'n_estimators': 100};0,318370089;0,427597652;0,301012709;0,345625107;0,466518102;0,371824732;0,064242688;46;-4,945491894;-4,926584583;-5,492045701;-5,125446595;-3,94404249;-4,886722253;0,513243373;46
33;19,58192196;1,876967163;0,002001858;3,57E-07;0,01;3;50;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50};0,328931374;0,341303664;0,30508529;0,293805185;0,332984032;0,320421909;0,017943955;47;-4,907029193;-5,284913264;-5,476022897;-5,324522434;-4,410114411;-5,08052044;0,383999752;47
19;174,74649;2,04530838;0,004404163;0,000490388;0,001;3;500;{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 500};0,329023456;0,340111863;0,304665117;0,292591193;0,332069941;0,319692314;0,017986224;48;-4,906692518;-5,289692187;-5,477678155;-5,329097056;-4,413135229;-5,083259029;0,384410997;48
